unit,volts
0.0,0.2075
0.00025,0.2024
0.0005,0.1947
0.00075,0.2227
0.001,0.1973
0.00125,0.2024
0.0015,0.2075
0.00175,0.2024
0.002,0.2024
0.00225,0.2075
0.0025,0.2024
0.00275,0.2024
0.003,0.2075
0.00325,0.1947
0.0035,0.2024
0.00375,0.2075
0.004,0.1947
0.00425,0.2024
0.0045,0.2024
0.00475,0.2024
0.005,0.2024
0.00525,0.2024
0.0055,0.2024
0.00575,0.2075
0.006,0.1922
0.00625,0.1998
0.0065,0.2075
0.00675,0.1947
0.007,0.1998
0.00725,0.2024
0.0075,0.1795
0.00775,0.1998
0.008,0.2075
0.00825,0.1947
0.0085,0.1998
0.00875,0.2024
0.009,0.1947
0.00925,0.2024
0.0095,0.2024
0.00975,0.2024
0.01,0.21
0.01025,0.2024
0.0105,0.2024
0.01075,0.2075
0.011,0.2024
0.01125,0.1973
0.0115,0.2075
0.01175,0.1947
0.012,0.2024
0.01225,0.1998
0.0125,0.1947
0.01275,0.2024
0.013,0.2024
0.01325,0.1947
0.0135,0.21
0.01375,0.2024
0.014,0.1947
0.01425,0.2253
0.0145,0.1973
0.01475,0.2024
0.015,0.21
0.01525,0.2024
0.0155,0.2024
0.01575,0.2075
0.016,0.1998
0.01625,0.1947
0.0165,0.1998
0.01675,0.2024
0.017,0.1947
0.01725,0.1998
0.0175,0.2075
0.01775,0.1922
0.018,0.2024
0.01825,0.2075
0.0185,0.1998
0.01875,0.1947
0.019,0.2075
0.01925,0.2024
0.0195,0.2024
0.01975,0.2075
0.02,0.2024
0.02025,0.2049
0.0205,0.2075
0.02075,0.1973
0.021,0.2253
0.02125,0.1998
0.0215,0.1973
0.02175,0.2075
0.022,0.1998
0.02225,0.1922
0.0225,0.2049
0.02275,0.2024
0.023,0.1998
0.02325,0.2075
0.0235,0.1998
0.02375,0.1947
0.024,0.2024
0.02425,0.2024
0.0245,0.1922
0.02475,0.2075
0.025,0.1947
0.02525,0.1998
0.0255,0.1998
0.02575,0.1922
0.026,0.2024
0.02625,0.2049
0.0265,0.1922
0.02675,0.2075
0.027,0.1998
0.02725,0.1922
0.0275,0.2075
0.02775,0.1998
0.028,0.1922
0.02825,0.2075
0.0285,0.2024
0.02875,0.2024
0.029,0.2075
0.02925,0.2024
0.0295,0.1998
0.02975,0.2075
0.03,0.1947
0.03025,0.2024
0.0305,0.1998
0.03075,0.1973
0.031,0.2024
0.03125,0.2075
0.0315,0.1973
0.03175,0.2024
0.032,0.1998
0.03225,0.2024
0.0325,0.21
0.03275,0.2024
0.033,0.2024
0.03325,0.2075
0.0335,0.1947
0.03375,0.2024
0.034,0.2075
0.03425,0.1998
0.0345,0.2202
0.03475,0.1846
0.035,0.1973
0.03525,0.2049
0.0355,0.2024
0.03575,0.1973
0.036,0.1998
0.03625,0.2024
0.0365,0.2024
0.03675,0.2075
0.037,0.2024
0.03725,0.1947
0.0375,0.2075
0.03775,0.1947
0.038,0.1998
0.03825,0.2049
0.0385,0.1973
0.03875,0.1998
0.039,0.2024
0.03925,0.1973
0.0395,0.2024
0.03975,0.2024
0.04,0.1947
0.04025,0.2024
0.0405,0.2024
0.04075,0.1947
0.041,0.21
0.04125,0.1973
0.0415,0.1897
0.04175,0.21
0.042,0.2024
0.04225,0.2024
0.0425,0.2075
0.04275,0.2024
0.043,0.2075
0.04325,0.2024
0.0435,0.1973
0.04375,0.2024
0.044,0.2049
0.04425,0.1973
0.0445,0.2075
0.04475,0.1973
0.045,0.1947
0.04525,0.2075
0.0455,0.2024
0.04575,0.2024
0.046,0.2075
0.04625,0.1947
0.0465,0.2024
0.04675,0.2024
0.047,0.1947
0.04725,0.2024
0.0475,0.2075
0.04775,0.1947
0.048,0.2075
0.04825,0.1922
0.0485,0.1973
0.04875,0.2075
0.049,0.2024
0.04925,0.1998
0.0495,0.2075
0.04975,0.2024
0.05,0.1947
0.05025,0.2075
0.0505,0.1973
0.05075,0.2024
0.051,0.2049
0.05125,0.1947
0.0515,0.2024
0.05175,0.2024
0.052,0.1973
0.05225,0.2049
0.0525,0.2024
0.05275,0.1998
0.053,0.2075
0.05325,0.2024
0.0535,0.1973
0.05375,0.2075
0.054,0.1973
0.05425,0.2024
0.0545,0.2075
0.05475,0.1947
0.055,0.1922
0.05525,0.2024
0.0555,0.1947
0.05575,0.1998
0.056,0.2075
0.05625,0.1947
0.0565,0.2024
0.05675,0.2024
0.057,0.1947
0.05725,0.2024
0.0575,0.2024
0.05775,0.1973
0.058,0.2075
0.05825,0.2024
0.0585,0.2024
0.05875,0.2075
0.059,0.1998
0.05925,0.2024
0.0595,0.2075
0.05975,0.2024
0.06,0.2024
0.06025,0.2075
0.0605,0.1947
0.06075,0.2024
0.061,0.2024
0.06125,0.1947
0.0615,0.21
0.06175,0.2024
0.062,0.1947
0.06225,0.2024
0.0625,0.1998
0.06275,0.1947
0.063,0.2075
0.06325,0.2024
0.0635,0.2024
0.06375,0.2075
0.064,0.1998
0.06425,0.1922
0.0645,0.2075
0.06475,0.2024
0.065,0.2024
0.06525,0.2075
0.0655,0.1947
0.06575,0.1922
0.066,0.2075
0.06625,0.2024
0.0665,0.1998
0.06675,0.2049
0.067,0.1922
0.06725,0.2024
0.0675,0.2024
0.06775,0.1947
0.068,0.2075
0.06825,0.21
0.0685,0.1897
0.06875,0.2024
0.069,0.2024
0.06925,0.1973
0.0695,0.2075
0.06975,0.2024
0.07,0.2024
0.07025,0.21
0.0705,0.1947
0.07075,0.2024
0.071,0.2049
0.07125,0.1947
0.0715,0.2024
0.07175,0.1998
0.072,0.1922
0.07225,0.2024
0.0725,0.2024
0.07275,0.1947
0.073,0.2024
0.07325,0.2024
