unit,volts
0.0,1.8268
0.00025,1.8192
0.0005,1.8294
0.00075,1.8192
0.001,1.8268
0.00125,1.8319
0.0015,1.8192
0.00175,1.8243
0.002,1.8319
0.00225,1.8192
0.0025,1.8268
0.00275,1.8268
0.003,1.8192
0.00325,1.8268
0.0035,1.8268
0.00375,1.8217
0.004,1.8268
0.00425,1.8243
0.0045,1.8294
0.00475,1.8319
0.005,1.8268
0.00525,1.8243
0.0055,1.8319
0.00575,1.8217
0.006,1.8268
0.00625,1.8243
0.0065,1.8192
0.00675,1.8268
0.007,1.8268
0.00725,1.8166
0.0075,1.8319
0.00775,1.8268
0.008,1.8192
0.00825,1.8243
0.0085,1.8268
0.00875,1.8217
0.009,1.8319
0.00925,1.8268
0.0095,1.8294
0.00975,1.8319
0.01,1.8268
0.01025,1.8243
0.0105,1.8319
0.01075,1.8268
0.011,1.8268
0.01125,1.8319
0.0115,1.8192
0.01175,1.8294
0.012,1.8243
0.01225,1.8217
0.0125,1.8268
0.01275,1.8319
0.013,1.8217
0.01325,1.8243
0.0135,1.8268
0.01375,1.8268
0.014,1.8319
0.01425,1.8268
0.0145,1.8268
0.01475,1.8319
0.015,1.8192
0.01525,1.8268
0.0155,1.8319
0.01575,1.8268
0.016,1.8217
0.01625,1.8319
0.0165,1.8268
0.01675,1.8192
0.017,1.8268
0.01725,1.8268
0.0175,1.8217
0.01775,1.8294
0.018,1.8319
0.01825,1.8268
0.0185,1.8268
0.01875,1.8319
0.019,1.8268
0.01925,1.8268
0.0195,1.8319
0.01975,1.8268
0.02,1.8268
0.02025,1.8345
0.0205,1.8192
0.02075,1.8268
0.021,1.8319
0.02125,1.8192
0.0215,1.8319
0.02175,1.8268
0.022,1.8217
0.02225,1.8319
0.0225,1.8294
0.02275,1.8268
0.023,1.8319
0.02325,1.8217
0.0235,1.8294
0.02375,1.8319
0.024,1.8268
0.02425,1.8268
0.0245,1.8268
0.02475,1.8217
0.025,1.8268
0.02525,1.8268
0.0255,1.8192
0.02575,1.8243
0.026,1.8268
0.02625,1.8192
0.0265,1.8319
0.02675,1.8268
