frequency,magnitude
0.000000,35026.2948
0.000005,431.3499
0.000014,54.8234
0.000024,20.4438
0.000049,14.062
0.000065,1.8605
0.000153,10.8649
0.000201,0.9421
0.000213,4.2694
0.000227,13.7565
0.000272,4.9426
0.000336,12.1161
0.000378,2.7297
0.000415,9.133
0.000470,3.0285
0.000507,8.9236
0.000557,13.9846
0.000572,5.6231
0.000582,0.4739
0.000603,11.0187
0.000715,9.7475
0.000774,2.1763
0.000836,10.6634
0.000902,1.3412
0.001003,9.7342
0.001096,2.5807
0.001109,0.3024
0.001118,5.0572
0.001133,1.3442
0.001193,9.4361
0.001250,2.0265
0.001269,11.0554
0.001292,4.383
0.001401,10.6076
0.001542,11.9408
0.001607,2.2275
0.001626,15.266
0.001640,3.4422
0.001668,10.7907
0.001709,3.8733
0.001717,14.6062
0.001723,1.3448
0.001731,10.6857
0.001742,2.0742
0.001753,9.5791
0.001769,3.6951
0.001783,9.5188
0.001792,3.5414
0.001826,14.3436
0.001883,1.5651
0.001927,10.9909
0.001978,3.6322
0.002007,15.2281
0.002054,2.9894
0.002060,27.1166
0.002065,4.3617
0.002081,18.0415
0.002092,5.256
0.002098,24.9942
0.002106,4.7158
0.002131,16.928
0.002147,4.3199
0.002155,16.6166
0.002163,4.2555
0.002182,18.7543
0.002201,3.0903
0.002235,16.0084
0.002261,3.6471
0.002339,19.3274
0.002386,7.3053
0.002398,26.893
0.002408,9.7672
0.002413,32.2351
0.002418,5.4292
0.002424,17.5464
0.002429,4.6697
0.002435,34.5601
0.002444,12.4414
0.002465,39.5277
0.002478,6.4517
0.002484,27.9852
0.002489,6.0662
0.002547,21.1972
0.002565,5.3997
0.002618,20.0683
0.002658,2.8981
0.002670,21.1726
0.002679,4.2625
0.002685,1.7204
0.002693,27.6869
0.002701,6.9671
0.002707,2.0654
0.002715,30.5475
0.002740,10.476
0.002758,26.08
0.002766,7.5832
0.002774,21.1418
0.002783,3.3945
0.002792,17.6378
0.002804,4.9145
0.002827,22.9562
0.002845,8.3437
0.002876,21.0043
0.002899,6.1518
0.002908,42.381
0.002916,1.8815
0.002935,28.0446
0.002973,3.3698
0.002978,38.1932
0.002984,8.4805
0.002996,24.1064
0.003008,5.8079
0.003028,27.9061
0.003043,3.963
0.003073,33.0112
0.003147,4.7483
0.003160,36.6652
0.003179,7.8318
0.003188,29.3489
0.003196,4.1085
0.003204,38.9662
0.003212,3.4679
0.003308,43.6546
0.003353,8.91
0.003361,58.8811
0.003370,21.6847
0.003421,48.734
0.003489,17.5383
0.003501,73.0589
0.003516,20.6255
0.003543,71.951
0.003560,21.6126
0.003573,65.3809
0.003587,19.1348
0.003611,69.6967
0.003630,18.7984
0.003649,58.5136
0.003668,21.8803
0.003677,65.7283
0.003685,25.9144
0.003690,65.6883
0.003696,12.7357
0.003716,47.9852
0.003750,17.7377
0.003755,64.4943
0.003761,1.6096
0.003769,41.8844
0.003777,6.9616
0.003785,21.617
0.003793,67.0314
0.003799,2.626
0.003813,41.1835
0.003826,10.601
0.003901,42.559
0.003940,9.4978
0.003962,32.4637
0.003978,13.2184
0.003984,43.9111
0.003989,11.625
0.004005,34.8858
0.004016,11.779
0.004022,30.4153
0.004027,10.0445
0.004049,33.8644
0.004065,3.5241
0.004075,29.2218
0.004087,8.1542
0.004098,36.7815
0.004125,3.5434
0.004177,42.1772
0.004207,4.8466
0.004212,48.5836
0.004217,8.8432
0.004227,37.6661
0.004239,4.5732
0.004276,30.3738
0.004299,8.365
0.004311,49.9338
0.004321,2.9118
0.004326,33.5093
0.004332,9.9495
0.004364,44.7951
0.004386,13.7318
0.004528,38.7463
0.004592,5.45
0.004613,52.7441
0.004625,4.0315
0.004637,37.0289
0.004647,8.6202
0.004652,62.7324
0.004658,11.6802
0.004663,48.8667
0.004668,9.7053
0.004674,60.2068
0.004679,3.1873
0.004692,42.1128
0.004701,8.8675
0.004732,41.4349
0.004761,17.2947
0.004766,54.1177
0.004772,8.3723
0.004816,44.9282
0.004902,16.5418
0.004925,48.7643
0.004951,11.0841
0.005015,50.0769
0.005065,19.7539
0.005081,60.6687
0.005092,22.8355
0.005098,69.165
0.005103,12.6122
0.005135,52.1993
0.005168,10.3464
0.005182,51.9217
0.005196,7.8704
0.005207,60.9933
0.005223,17.189
0.005233,56.5947
0.005250,11.8895
0.005262,58.9127
0.005277,4.3734
0.005291,54.1575
0.005304,19.3317
0.005320,55.1845
0.005332,10.1541
0.005340,70.5286
0.005348,9.5071
0.005417,52.86
0.005489,6.6419
0.005505,65.4015
0.005516,21.0975
0.005524,64.0226
0.005533,25.805
0.005552,63.0198
0.005576,16.6136
0.005609,55.6127
0.005636,18.1266
0.005644,58.6418
0.005652,10.0428
0.005660,72.943
0.005668,2.3438
0.005677,61.6361
0.005685,7.1294
0.005717,57.787
0.005777,16.2975
0.005793,65.0802
0.005810,21.0655
0.005830,58.086
0.005859,19.4256
0.005879,67.1473
0.006220,81.3219
0.006402,32.1204
0.006548,105.1364
0.006630,42.0384
0.006640,99.1521
0.006652,26.1345
0.006676,108.0601
0.006696,31.7412
0.006705,121.5475
0.006717,8.5688
0.006745,122.2128
0.006785,47.5109
0.006796,134.6566
0.006807,48.8549
0.006867,411.6114
0.006981,164.0594
0.007011,13.0058
0.007036,55.7648
0.007071,18.3309
0.007146,51.7789
0.007239,10.051
0.007263,38.4612
0.007291,19.5454
0.007313,51.7093
0.007326,10.8273
0.007350,45.8405
0.007386,7.4806
0.007406,59.7991
0.007418,7.5182
0.007432,38.0013
0.007446,14.7211
0.007451,44.8814
0.007457,12.347
0.007507,40.8423
0.007743,64.1557
0.007788,18.4749
0.007817,49.8195
0.007837,12.117
0.007856,53.5042
0.007875,15.245
0.007891,36.7094
0.007908,11.1356
0.007924,57.5805
0.007946,13.7355
0.007963,46.8335
0.007995,6.0318
0.008095,49.7948
0.008130,3.6092
0.008139,18.4097
0.008147,5.0896
0.008155,56.4619
0.008163,18.0054
0.008171,64.8679
0.008179,6.892
0.008255,32.2016
0.008310,5.1113
0.008354,31.809
0.008408,8.5428
0.008413,2.3929
0.008418,9.066
0.008463,45.5297
0.008495,9.9758
0.008619,25.8557
0.008777,10.507
0.008789,31.2264
0.008799,2.4013
0.008819,36.7432
0.008832,5.2014
0.008872,35.0145
0.008902,4.3822
0.008926,35.7667
0.008946,8.6599
0.009010,29.6337
0.009179,3.912
0.009208,22.0848
0.009234,1.2409
0.009246,32.9173
0.009255,2.0922
0.009283,30.768
0.009299,9.2501
0.009344,32.4238
0.009364,2.6516
0.009370,11.6651
0.009395,28.901
0.009446,8.0693
0.009457,20.4439
0.009476,2.4483
0.009509,21.08
0.009577,6.4219
0.009599,23.2253
0.009620,3.6614
0.009652,12.3181
0.009712,3.9473
0.009720,20.6215
0.009728,2.7796
0.009740,11.1901
0.009755,50.1678
0.009852,20.5565
0.009883,6.3267
0.009899,25.4466
0.009913,5.8308
0.009918,37.1985
