frequency,magnitude
0.000000,36081.174
0.000005,879.7281
0.000030,82.1247
0.000054,16.7451
0.000066,53.1323
0.000082,15.0473
0.000090,40.6876
0.000098,13.4753
0.000150,42.3684
0.000201,11.677
0.000242,56.1459
0.000278,14.0464
0.000296,26.1642
0.000304,9.6734
0.000314,39.0739
0.000326,5.4821
0.000399,47.1923
0.000462,16.0471
0.000486,54.572
0.000518,22.1677
0.000527,4.8868
0.000543,36.6619
0.000560,13.4666
0.000588,45.0959
0.000625,11.7998
0.000633,29.6244
0.000641,2.7139
0.000658,14.4
0.000677,2.747
0.000685,10.436
0.000715,42.9153
0.000745,14.0656
0.000788,47.4188
0.000872,9.3809
0.000895,38.6874
0.000908,8.3861
0.000943,34.694
0.001014,9.0369
0.001038,32.045
0.001071,6.3562
0.001079,24.3951
0.001087,7.8303
0.001123,41.7665
0.001147,3.4032
0.001155,25.9818
0.001163,8.4763
0.001171,33.4887
0.001179,6.0682
0.001215,37.1429
0.001253,9.6324
0.001324,31.2675
0.001457,5.083
0.001476,53.1313
0.001495,19.5367
0.001507,66.7894
0.001581,27.4042
0.001632,68.6789
0.001652,17.4695
0.001688,50.8552
0.001755,4.0831
0.001771,64.1281
0.001788,10.237
0.001872,81.2997
0.002000,16.8394
0.002005,4.2262
0.002032,49.4834
0.002068,6.7189
0.002109,43.5263
0.002130,12.9646
0.002160,44.1373
0.002190,14.2552
0.002211,48.0071
0.002239,12.7324
0.002295,55.0357
0.002380,14.2748
0.002386,37.0657
0.002391,10.6347
0.002408,78.9548
0.002424,30.9507
0.002465,131.8444
0.002511,9.4406
0.002519,56.6353
0.002527,19.3269
0.002588,65.443
0.002614,12.5497
0.002639,41.8473
0.002663,8.465
0.002763,57.7994
0.002861,16.3253
0.002880,67.2644
0.002899,26.5537
0.002959,114.6974
0.002989,28.4783
0.003033,69.4513
0.003060,8.2978
0.003096,53.8491
0.003120,114.9686
0.003128,39.0124
0.003136,95.9683
0.003144,30.404
0.003159,86.7453
0.003168,36.9262
0.003203,126.5149
0.003223,32.2502
0.003231,91.0971
0.003242,26.3541
0.003272,120.4345
0.003291,47.1832
0.003317,125.7769
0.003353,41.3387
0.003361,129.2707
0.003370,22.4564
0.003476,142.1627
0.003560,39.007
0.003592,175.9832
0.003641,71.0033
0.003686,181.2819
0.003734,28.6901
0.003742,173.1634
0.003750,22.5756
0.003755,265.6076
0.003761,27.4612
0.003776,139.4024
0.003788,51.3701
0.003810,160.4255
0.003826,30.5738
0.003845,149.8815
0.003864,18.0101
0.003880,147.5603
0.003902,38.8056
0.003925,172.503
0.003940,63.6294
0.003959,158.1288
0.003978,28.0221
0.003984,219.9328
0.003989,34.7298
0.004005,206.1638
0.004027,67.8602
0.004033,213.0547
0.004038,4.0856
0.004072,210.6911
0.004087,43.1961
0.004115,194.4195
0.004147,36.4808
0.004180,236.826
0.004217,75.1527
0.004227,214.8345
0.004239,59.8027
0.004245,318.5205
0.004250,37.8
0.004312,232.5586
0.004342,66.8932
0.004363,210.8017
0.004375,41.1418
0.004513,188.8425
0.004636,62.1748
0.004641,252.226
0.004647,46.6024
0.004652,268.0322
0.004658,37.65
0.004663,249.7545
0.004668,71.4137
0.004674,250.1869
0.004679,34.6221
0.004731,197.6891
0.004761,69.8687
0.004766,304.192
0.004772,45.8221
0.004803,253.5439
0.004821,86.6516
0.004826,246.2414
0.004832,47.7258
0.004837,277.4498
0.004842,29.4243
0.004848,227.2651
0.004853,36.5477
0.004878,218.4554
0.004902,37.0305
0.004917,260.1997
0.004940,74.6077
0.004993,245.6151
0.005027,86.6334
0.005033,363.5304
0.005038,89.9311
0.005052,240.4819
0.005065,82.551
0.005084,279.3062
0.005103,45.2676
0.005117,236.4326
0.005130,74.571
0.005149,257.285
0.005168,1.5854
0.005182,229.328
0.005196,68.5334
0.005211,243.6089
0.005223,41.0597
0.005228,313.2808
0.005234,95.79
0.005242,243.5043
0.005250,41.5198
0.005266,271.702
0.005277,40.6596
0.005291,216.6377
0.005304,41.657
0.005341,223.8038
0.005359,63.564
0.005367,228.9324
0.005375,83.8002
0.005389,226.57
0.005402,83.0912
0.005442,243.2964
0.005473,90.2129
0.005481,292.5927
0.005489,90.1516
0.005501,288.0157
0.005516,98.4796
0.005538,254.8795
0.005576,82.7304
0.005584,255.5448
0.005592,91.3005
0.005621,266.22
0.005636,60.0982
0.005644,287.3188
0.005652,52.713
0.005660,310.113
0.005668,37.8545
0.005677,283.1712
0.005685,44.4208
0.005725,284.4547
0.005777,62.861
0.005821,242.5428
0.005859,92.4838
0.005867,274.0434
0.005875,82.6677
0.005883,296.2281
0.005891,85.0015
0.006678,364.1585
0.006717,133.8926
0.006794,369.3532
0.006931,1127.1594
0.007019,211.2503
0.007158,81.5627
0.007261,6.59
0.007278,95.047
0.007293,17.6343
0.007302,88.6148
0.007310,35.9718
0.007384,124.2368
0.007473,33.4235
0.007584,185.5221
0.007717,76.2017
0.007798,182.2509
0.007859,4.192
0.007900,174.0157
0.007946,54.2655
0.007954,228.7007
0.007966,95.6146
