unit,volts
0.0,-0.4572
0.00025,-0.4546
0.0005,-0.4546
0.00075,-0.4572
0.001,-0.4419
0.00125,-0.4546
0.0015,-0.4521
0.00175,-0.447
0.002,-0.4546
0.00225,-0.4597
0.0025,-0.447
0.00275,-0.4546
0.003,-0.4521
0.00325,-0.4495
0.0035,-0.4597
0.00375,-0.4546
0.004,-0.447
0.00425,-0.4597
0.0045,-0.447
0.00475,-0.4521
0.005,-0.4597
0.00525,-0.4546
0.0055,-0.4546
0.00575,-0.4572
0.006,-0.4495
0.00625,-0.4546
0.0065,-0.4521
0.00675,-0.447
0.007,-0.4597
0.00725,-0.4521
0.0075,-0.4419
0.00775,-0.4572
0.008,-0.4521
0.00825,-0.447
0.0085,-0.4572
0.00875,-0.4546
0.009,-0.447
0.00925,-0.4597
0.0095,-0.447
0.00975,-0.4521
0.01,-0.4572
0.01025,-0.447
0.0105,-0.4521
0.01075,-0.4597
0.011,-0.447
0.01125,-0.4521
0.0115,-0.4521
0.01175,-0.4495
0.012,-0.4597
0.01225,-0.4546
0.0125,-0.4546
0.01275,-0.4572
0.013,-0.4521
0.01325,-0.447
0.0135,-0.4572
0.01375,-0.447
0.014,-0.4546
0.01425,-0.4699
0.0145,-0.4419
0.01475,-0.4546
0.015,-0.4546
0.01525,-0.4495
0.0155,-0.4546
0.01575,-0.4572
0.016,-0.4546
0.01625,-0.4546
0.0165,-0.4597
0.01675,-0.4521
0.017,-0.4495
0.01725,-0.4572
0.0175,-0.4546
0.01775,-0.447
0.018,-0.4546
0.01825,-0.4597
0.0185,-0.4521
0.01875,-0.4546
0.019,-0.4622
0.01925,-0.4495
0.0195,-0.4546
0.01975,-0.4546
0.02,-0.4521
0.02025,-0.4521
0.0205,-0.4597
0.02075,-0.447
0.021,-0.4597
0.02125,-0.447
0.0215,-0.4546
0.02175,-0.4597
0.022,-0.4546
0.02225,-0.4495
0.0225,-0.4597
0.02275,-0.447
0.023,-0.4521
0.02325,-0.4622
0.0235,-0.4495
0.02375,-0.4546
0.024,-0.4597
0.02425,-0.447
0.0245,-0.4546
0.02475,-0.4546
0.025,-0.4495
0.02525,-0.4572
0.0255,-0.4521
0.02575,-0.447
0.026,-0.4546
0.02625,-0.4572
0.0265,-0.4495
0.02675,-0.4597
0.027,-0.4546
0.02725,-0.4546
0.0275,-0.4597
0.02775,-0.4546
0.028,-0.4521
0.02825,-0.4597
0.0285,-0.447
0.02875,-0.4521
0.029,-0.4521
0.02925,-0.4495
0.0295,-0.4546
0.02975,-0.4521
0.03,-0.447
0.03025,-0.4521
0.0305,-0.4521
0.03075,-0.447
0.031,-0.4597
0.03125,-0.4521
0.0315,-0.447
0.03175,-0.4546
0.032,-0.4521
0.03225,-0.4521
0.0325,-0.4572
0.03275,-0.4444
0.033,-0.4546
0.03325,-0.4521
0.0335,-0.4495
0.03375,-0.4572
0.034,-0.4546
0.03425,-0.447
0.0345,-0.4597
0.03475,-0.4495
0.035,-0.4495
0.03525,-0.4572
0.0355,-0.4521
0.03575,-0.447
0.036,-0.4521
0.03625,-0.4546
0.0365,-0.4546
0.03675,-0.4597
0.037,-0.4495
0.03725,-0.4546
0.0375,-0.4521
0.03775,-0.4495
0.038,-0.4546
0.03825,-0.4521
0.0385,-0.447
0.03875,-0.4597
0.039,-0.4546
0.03925,-0.447
0.0395,-0.4572
0.03975,-0.4546
0.04,-0.4546
0.04025,-0.4597
0.0405,-0.4521
0.04075,-0.4521
0.041,-0.4572
0.04125,-0.447
0.0415,-0.4495
0.04175,-0.4597
0.042,-0.447
0.04225,-0.4546
0.0425,-0.4546
0.04275,-0.4495
0.043,-0.4597
0.04325,-0.4521
0.0435,-0.4521
0.04375,-0.4572
0.044,-0.4521
0.04425,-0.4546
0.0445,-0.4597
0.04475,-0.447
0.045,-0.4521
0.04525,-0.4597
0.0455,-0.4521
0.04575,-0.4521
0.046,-0.4597
0.04625,-0.447
0.0465,-0.4572
0.04675,-0.4546
0.047,-0.4495
0.04725,-0.4597
0.0475,-0.4546
0.04775,-0.447
0.048,-0.4673
0.04825,-0.4495
0.0485,-0.4521
0.04875,-0.4572
0.049,-0.447
0.04925,-0.4521
0.0495,-0.4597
0.04975,-0.447
0.05,-0.4546
0.05025,-0.4572
0.0505,-0.447
0.05075,-0.4597
0.051,-0.4597
0.05125,-0.4495
0.0515,-0.4597
0.05175,-0.4546
0.052,-0.4495
0.05225,-0.4572
0.0525,-0.4521
0.05275,-0.4521
0.053,-0.4572
0.05325,-0.4495
0.0535,-0.4495
0.05375,-0.4572
0.054,-0.4495
0.05425,-0.4521
0.0545,-0.4546
0.05475,-0.4495
0.055,-0.4648
0.05525,-0.4546
0.0555,-0.4495
0.05575,-0.4521
0.056,-0.4546
0.05625,-0.4495
0.0565,-0.4546
0.05675,-0.4546
0.057,-0.4546
0.05725,-0.4572
0.0575,-0.4521
0.05775,-0.4546
0.058,-0.4597
0.05825,-0.4495
0.0585,-0.4546
0.05875,-0.4521
0.059,-0.447
0.05925,-0.4546
0.0595,-0.4521
0.05975,-0.447
0.06,-0.4521
0.06025,-0.4597
0.0605,-0.4495
0.06075,-0.4597
0.061,-0.4546
0.06125,-0.4546
0.0615,-0.4597
0.06175,-0.4546
0.062,-0.447
0.06225,-0.4597
0.0625,-0.4546
0.06275,-0.447
0.063,-0.4572
0.06325,-0.4444
0.0635,-0.4546
0.06375,-0.4521
0.064,-0.4521
0.06425,-0.4521
0.0645,-0.4597
0.06475,-0.447
0.065,-0.4546
0.06525,-0.4572
0.0655,-0.4495
0.06575,-0.4521
0.066,-0.4521
0.06625,-0.4495
0.0665,-0.4546
0.06675,-0.4521
0.067,-0.4521
0.06725,-0.4546
0.0675,-0.4546
0.06775,-0.4521
0.068,-0.4572
0.06825,-0.4495
0.0685,-0.4495
0.06875,-0.4572
0.069,-0.4546
0.06925,-0.4521
0.0695,-0.4572
0.06975,-0.4521
0.07,-0.4546
0.07025,-0.4521
0.0705,-0.4495
0.07075,-0.4597
0.071,-0.4521
0.07125,-0.4495
0.0715,-0.4597
0.07175,-0.4546
0.072,-0.4495
0.07225,-0.4597
0.0725,-0.4546
0.07275,-0.4495
0.073,-0.4622
0.07325,-0.4521
0.0735,-0.447
0.07375,-0.4597
0.074,-0.4521
0.07425,-0.4546
0.0745,-0.4521
0.07475,-0.4495
0.075,-0.4546
0.07525,-0.4597
0.0755,-0.4444
0.07575,-0.4521
0.076,-0.4521
0.07625,-0.447
0.0765,-0.4597
0.07675,-0.4546
0.077,-0.4521
0.07725,-0.4597
0.0775,-0.4546
0.07775,-0.447
0.078,-0.4546
0.07825,-0.4546
0.0785,-0.4546
0.07875,-0.4546
0.079,-0.4597
0.07925,-0.4546
0.0795,-0.4495
0.07975,-0.4597
0.08,-0.4546
0.08025,-0.4521
0.0805,-0.4546
0.08075,-0.4546
0.081,-0.4495
0.08125,-0.4622
0.0815,-0.4546
0.08175,-0.447
0.082,-0.4572
0.08225,-0.4521
0.0825,-0.4495
0.08275,-0.4546
0.083,-0.4546
0.08325,-0.4521
0.0835,-0.4572
0.08375,-0.4546
0.084,-0.4546
0.08425,-0.4546
0.0845,-0.4521
0.08475,-0.4546
0.085,-0.4546
0.08525,-0.4495
0.0855,-0.4597
0.08575,-0.4521
0.086,-0.4495
0.08625,-0.4597
0.0865,-0.4521
0.08675,-0.4546
0.087,-0.4597
0.08725,-0.447
0.0875,-0.4521
0.08775,-0.4597
0.088,-0.447
0.08825,-0.4546
0.0885,-0.4546
0.08875,-0.4495
0.089,-0.4521
0.08925,-0.4546
0.0895,-0.4495
0.08975,-0.4572
0.09,-0.4521
0.09025,-0.4495
