frequency,magnitude
0.000000,38444.2928
0.000005,863.2858
0.000014,211.542
0.000024,63.4712
0.000035,78.1403
0.000046,24.4271
0.000073,38.4543
0.000095,6.7011
0.000144,34.6266
0.000174,5.8196
0.000219,47.6495
0.000255,8.1423
0.000268,40.3989
0.000280,11.9063
0.000318,47.6974
0.000386,14.3963
0.000391,1.9686
0.000432,40.7345
0.000481,15.2315
0.000561,37.3844
0.000630,6.5464
0.000639,30.6751
0.000649,10.7192
0.000662,45.4914
0.000677,16.0813
0.000735,47.2882
0.000799,0.8233
0.000813,23.1873
0.000899,37.2769
0.000951,6.5972
0.001074,32.162
0.001177,8.5567
0.001205,28.4699
0.001234,9.1365
0.001295,36.7665
0.001315,9.1818
0.001347,50.236
0.001394,17.9399
0.001417,54.9891
0.001467,13.806
0.001523,37.1164
0.001549,7.851
0.001588,37.7981
0.001647,9.3951
0.001652,25.3279
0.001685,72.4763
0.001707,14.9205
0.001726,47.7198
0.001750,14.4785
0.001805,47.3403
0.001878,10.1969
0.001893,37.5955
0.001913,13.3787
0.001942,59.2509
0.002011,22.2939
0.002019,111.5961
0.002050,35.0987
0.002092,5.8497
0.002122,36.5276
0.002163,14.9748
0.002173,65.3692
0.002185,10.6796
0.002190,39.4174
0.002196,9.8679
0.002227,36.4001
0.002245,10.7278
0.002250,30.9396
0.002255,5.9075
0.002327,17.9077
0.002424,59.5387
0.002565,17.7278
0.002585,42.9259
0.002620,2.3502
0.002625,9.9092
0.002647,45.7831
0.002663,8.4831
0.002690,39.4697
0.002717,11.3926
0.002740,39.8219
0.002755,8.1816
0.002792,42.5819
0.002826,4.6916
0.002887,39.7327
0.002940,11.0705
0.002984,38.6886
0.003016,11.2477
0.003045,39.7322
0.003079,11.1425
0.003093,53.8757
0.003120,12.2423
0.003140,28.2974
0.003168,67.8019
0.003174,15.1328
0.003198,53.0976
0.003228,14.2268
0.003244,60.4878
0.003255,6.6055
0.003269,50.9016
0.003283,19.0006
0.003298,86.4422
0.003328,38.2427
0.003353,6.7396
0.003361,70.5125
0.003370,21.7769
0.003425,71.115
0.003457,15.8818
0.003514,102.3296
0.003543,32.0082
0.003653,102.0894
0.003788,6.2473
0.003793,150.0757
0.003802,40.2525
0.003814,139.594
0.003854,57.2858
0.003870,189.4391
0.003875,14.2708
0.003892,108.6508
0.003902,33.8732
0.003938,108.1088
0.003978,41.5892
0.003984,131.7872
0.003989,14.039
0.004005,92.0244
0.004016,18.8488
0.004029,123.9369
0.004038,39.8191
0.004043,132.5727
0.004049,48.954
0.004065,115.8204
0.004087,14.941
0.004120,113.7593
0.004147,38.7121
0.004167,128.2213
0.004207,26.9249
0.004224,114.2247
0.004239,34.1202
0.004292,114.2121
0.004310,43.637
0.004315,160.2432
0.004321,17.9345
0.004358,103.4162
0.004435,10.9779
0.004476,110.6598
0.004560,2.4537
0.004579,99.7751
0.004603,32.7331
0.004625,91.777
0.004647,18.2399
0.004699,100.8695
0.004772,21.9124
0.004789,93.4586
0.004804,30.0688
0.004822,100.8121
0.004842,33.0833
0.004848,145.7005
0.004864,58.3207
0.004967,146.5824
0.005038,32.7431
0.005151,93.0575
0.005196,18.697
0.005215,83.6598
0.005239,20.9927
0.005245,73.7557
0.005250,17.3618
0.005264,89.49
0.005277,24.5798
0.005291,68.3431
0.005304,7.7451
0.005328,77.1298
0.005348,32.5684
0.005373,89.9642
0.005402,21.0238
0.005428,101.91
0.005473,37.4702
0.005518,91.3511
0.005576,5.6489
0.005584,100.1216
0.005592,23.0428
0.005700,91.241
0.005787,35.3727
0.005843,83.8143
0.005891,16.7742
0.005946,107.2453
0.005995,35.1626
0.006102,110.5561
0.006245,23.5259
0.006459,117.9225
0.006783,40.1018
0.006806,180.0271
0.006832,19.2836
0.006908,305.4512
0.007018,86.3914
0.007038,20.7083
0.007176,54.9735
0.007288,5.0052
0.007309,51.8899
0.007370,17.9433
0.007379,56.4094
0.007391,13.5981
0.007408,48.9139
0.007438,14.2955
0.007478,46.7739
0.007497,12.2903
0.007525,59.4229
0.007565,16.719
0.007571,73.5461
0.007576,20.1876
0.007582,76.6117
0.007590,20.7699
0.007656,63.1266
0.007707,10.9671
0.007756,54.7976
0.007807,21.3012
0.007841,53.5438
0.007880,15.2308
0.007896,57.7288
0.007908,14.564
0.007916,68.9422
0.007927,19.6419
0.007938,52.5968
0.007946,6.1614
0.007979,55.659
0.008027,9.7378
0.008054,35.2905
0.008086,83.2759
0.008118,24.7619
0.008130,63.3507
0.008136,8.6185
0.008182,47.2911
0.008226,15.9219
0.008252,65.5762
0.008283,13.7326
0.008298,50.1523
0.008310,13.0469
0.008323,38.0047
0.008337,10.8363
0.008349,44.1956
0.008372,8.2601
0.008397,35.3286
0.008442,87.6188
0.008522,40.9557
0.008576,8.8368
0.008584,76.7644
0.008599,31.1892
0.008620,8.8041
0.008625,93.2406
0.008649,30.3672
0.008682,75.0887
0.008696,21.894
0.008701,57.2293
0.008707,7.6423
0.008712,39.0927
0.008717,11.3245
0.008749,48.2896
0.008788,15.0358
0.008811,51.5243
0.008918,28.848
0.009049,10.6121
0.009069,28.4275
0.009084,10.5257
0.009117,50.2441
0.009147,6.664
0.009155,44.2999
0.009163,11.2554
0.009188,37.9656
0.009228,10.4808
0.009264,46.321
0.009288,10.5828
0.009326,68.6883
0.009348,7.3976
0.009367,31.4053
0.009389,12.4583
0.009401,39.8073
0.009413,15.0678
0.009486,46.4383
0.009554,8.4875
0.009610,35.7048
0.009679,6.9906
0.009700,55.9033
0.009712,7.8861
0.009753,43.6593
0.009783,6.5575
0.009797,44.6284
0.009815,3.5971
0.009831,20.7384
0.009842,4.7874
0.009935,33.5637
0.010098,7.1545
0.010106,27.0707
0.010117,64.1458
0.010128,17.2939
0.010155,68.8515
0.010198,11.8286
0.010209,30.3863
0.010217,6.7434
0.010241,54.3674
0.010258,13.9078
0.010266,38.5744
0.010272,11.7642
0.010281,26.7146
0.010293,6.2548
0.010361,32.5782
0.010397,3.3776
0.010433,35.1748
0.010476,12.1819
0.010502,31.5539
0.010533,8.0108
0.010541,40.3205
0.010549,12.3838
0.010583,35.9778
0.010609,14.6292
0.010633,37.8541
0.010668,9.0536
0.010694,34.4999
0.010823,12.4039
0.010862,34.3472
0.010902,6.2703
0.010995,34.4367
0.011082,6.0711
0.011090,16.3844
0.011098,45.5581
0.011103,7.8227
0.011125,36.7767
0.011162,12.7868
0.011193,43.4436
0.011217,7.523
0.011236,25.1659
0.011296,57.1807
0.011351,23.8395
0.011375,6.8191
0.011389,48.5424
0.011409,13.1184
0.011430,33.9069
0.011446,6.4328
0.011508,34.3756
0.011620,6.6867
0.012021,28.5199
0.012168,8.7849
0.012191,27.174
0.012223,9.7947
0.012273,43.6248
0.012306,15.0553
0.012326,5.131
0.012338,19.3339
0.012359,3.8831
0.012396,28.6755
0.012424,8.0493
0.012443,24.2447
0.012462,7.032
0.012478,21.7201
0.012495,9.154
0.012500,52.2848
0.012505,7.9573
0.012514,57.5801
0.012522,12.7319
0.012638,41.2268
0.012698,9.4453
0.012804,34.1235
0.012957,8.1564
0.012983,34.7453
0.012995,7.3484
0.013031,41.9789
0.013084,14.6355
0.013105,44.4701
0.013114,9.5968
0.013152,34.2483
0.013174,13.7255
0.013311,37.0699
0.013375,15.6419
0.013479,42.2804
0.013524,13.7953
0.013541,40.0359
0.013561,15.272
0.013616,51.899
0.013679,7.2163
0.013688,37.6377
0.013696,9.7855
0.013802,84.1087
0.013962,22.7523
0.013978,60.1144
0.014003,24.088
0.014011,5.5804
0.014019,19.5489
0.014197,49.3815
0.014293,8.8993
0.014333,54.9553
0.014408,6.4979
0.014420,51.0962
0.014429,13.9696
0.014446,53.8295
0.014459,9.6624
0.014541,60.2105
0.014622,23.0185
0.014663,82.3657
0.014776,36.7151
0.014940,5.2994
0.014962,37.5581
0.014978,127.1194
0.015061,50.8432
0.015114,19.4188
0.015147,56.3055
0.015174,7.6602
0.015193,47.3768
0.015212,17.1625
0.015228,58.5514
0.015250,11.0207
0.015260,66.7764
0.015272,7.9293
0.015281,43.1512
0.015293,5.8705
0.015319,49.9781
0.015342,18.5518
0.015356,48.7627
0.015370,15.5793
0.015397,59.3056
0.015435,12.5299
0.015443,45.9289
0.015451,8.1553
0.015457,87.0138
0.015462,19.165
0.015507,60.233
0.015576,8.7721
0.015603,48.1219
0.015685,20.8067
0.015710,64.2218
0.015750,19.0956
0.015766,61.0607
0.015788,12.155
0.015802,70.3092
0.015822,18.9216
0.015842,82.5913
0.015853,5.9642
0.015865,64.352
0.015891,17.8678
0.015897,69.9633
0.015902,19.8552
0.015964,58.3388
0.016022,11.2914
0.016055,66.0239
0.016114,9.566
0.016120,58.7462
0.016125,23.1547
0.016133,59.0963
0.016141,18.2175
0.016166,52.6993
0.016207,14.752
0.016252,51.6637
0.016304,14.2761
0.016310,54.9423
0.016315,16.8118
0.016327,54.906
0.016342,16.024
0.016371,56.4721
0.016413,14.803
0.016454,57.468
0.016499,22.8851
0.016519,57.0995
0.016533,16.6164
0.016612,64.3018
0.016712,15.5861
0.016736,63.7218
0.016755,9.805
0.016764,82.879
0.016772,20.8064
0.016798,61.5675
0.016826,23.6318
0.016859,64.1189
0.016924,18.7724
0.016932,78.6106
0.016940,8.0256
0.016954,61.9779
0.016967,4.2399
0.016982,51.8102
0.017005,14.1331
0.017026,86.5076
0.017054,12.6058
0.017086,71.9142
0.017125,17.2647
0.017188,55.6411
0.017228,6.8193
0.017245,65.6611
0.017261,2.1477
0.017280,62.4237
0.017299,15.0798
0.017315,75.4215
0.017332,21.1089
0.017340,90.1291
0.017348,25.4872
0.017353,89.226
0.017359,28.1329
0.017385,96.8898
0.017424,30.7369
0.017435,91.2549
0.017451,20.5055
0.017459,73.0892
0.017467,10.3032
0.017483,75.0012
0.017511,2.5534
0.017547,81.4642
0.017571,20.6504
0.017623,73.8941
0.017679,12.2766
0.017693,77.3313
0.017707,15.918
0.017955,67.4271
0.018173,13.997
0.018208,63.2411
0.018250,14.2453
0.018302,72.0
0.018386,3.825
0.018568,70.8643
0.018772,19.7731
